,0
1255,H
1256,A
1257,A
1258,H
1259,H
1260,A
1261,H
1262,H
1263,H
1264,H
1265,A
1266,H
1267,A
1268,H
1269,H
1270,A
1271,H
1272,A
1273,H
1274,A
1275,H
1276,H
1277,A
1278,H
1279,H
1280,H
1281,H
1282,H
1283,H
1284,H
1285,H
1286,H
1287,A
1288,A
1289,H
1290,H
1291,H
1292,H
1293,H
1294,A
1295,A
1296,H
1297,H
1298,A
1299,H
1300,H
1301,H
1302,H
1303,A
1304,H
1305,H
1306,H
1307,H
1308,A
1309,H
1310,A
1311,A
1312,A
1313,A
1314,A
1315,H
1316,H
1317,A
1318,H
1319,H
1320,H
1321,H
1322,H
1323,H
1324,H
1325,H
1326,H
1327,H
1328,A
1329,A
1330,A
1331,H
1332,H
1333,A
1334,A
1335,A
1336,H
1337,A
1338,H
1339,H
1340,H
1341,H
1342,A
1343,A
1344,A
1345,H
1346,H
1347,A
1348,A
1349,H
1350,A
1351,H
1352,A
1353,H
1354,A
1355,H
1356,H
1357,H
1358,A
1359,A
1360,H
1361,A
1362,H
1363,A
1364,H
1365,H
1366,H
1367,H
1368,A
1369,A
1370,A
1371,A
1372,H
1373,A
1374,H
1375,A
1376,H
1377,H
1378,A
1379,H
1380,H
1381,H
1382,A
1383,H
1384,A
1385,A
1386,H
1387,H
1388,A
1389,H
1390,H
1391,A
1392,H
1393,H
1394,H
1395,A
1396,A
1397,A
1398,H
1399,A
1400,H
1401,A
1402,H
1403,H
1404,H
1405,A
1406,H
1407,H
1408,H
1409,H
1410,A
1411,H
1412,A
1413,H
1414,H
1415,H
1416,A
1417,H
1418,H
1419,H
1420,H
1421,H
1422,H
1423,H
1424,H
1425,H
1426,A
1427,H
1428,H
1429,H
1430,H
1431,A
1432,H
1433,A
1434,A
1435,H
1436,A
1437,H
1438,H
1439,H
1440,A
1441,A
1442,H
1443,H
1444,H
1445,H
1446,H
1447,H
1448,A
1449,H
1450,H
1451,H
1452,H
1453,H
1454,H
1455,A
1456,H
1457,A
1458,H
1459,A
1460,A
1461,A
1462,H
1463,H
1464,H
1465,A
1466,A
1467,H
1468,A
1469,H
1470,H
1471,H
1472,A
1473,A
1474,H
1475,A
1476,H
1477,A
1478,H
1479,H
1480,A
1481,H
1482,A
1483,H
1484,H
1485,H
1486,A
